檔案名稱,來源頁碼,章節,年度類別,是否資產負債表
N01安溪_110學年度財務報告.pdf,1,未標註章節,,否
N01安溪_110學年度財務報告.pdf,2,未標註章節,,否
N01安溪_110學年度財務報告.pdf,3,會計師查核報告,,否
N01安溪_110學年度財務報告.pdf,4,未標註章節,,否
N01安溪_110學年度財務報告.pdf,6,收支餘絀表（110學年度，本年度）,本年度,否
N01安溪_110學年度財務報告.pdf,7,收支餘絀表（109學年度，前一年度）,前一年度,否
N01安溪_110學年度財務報告.pdf,8,淨值變動表,,否
N01安溪_110學年度財務報告.pdf,9,現金流量表,,否
N01安溪_110學年度財務報告.pdf,10,財務報表附註、一般概況,,否
N01安溪_110學年度財務報告.pdf,11,重大會計政策之彙總說明,,否
N01安溪_110學年度財務報告.pdf,12,未標註章節,,否
N01安溪_110學年度財務報告.pdf,13,未標註章節,,否
N01安溪_110學年度財務報告.pdf,14,重要會計項目說明,,否
N01安溪_110學年度財務報告.pdf,15,未標註章節,,否
N01安溪_110學年度財務報告.pdf,16,未標註章節,,否
N01安溪_110學年度財務報告.pdf,17,未標註章節,,否
N01安溪_110學年度財務報告.pdf,18,未標註章節,,否
N01安溪_110學年度財務報告.pdf,19,未標註章節,,否
N01安溪_110學年度財務報告.pdf,20,未標註章節,,否
N01安溪_110學年度財務報告.pdf,21,未標註章節,,否
N01安溪_110學年度財務報告.pdf,22,賸餘款執行概況說明、關係人交易,,否
N01安溪_110學年度財務報告.pdf,23,關係人交易、質抵押資產、重大承諾事項及或有事項、重大之期後事項、法源依據,,否
N01安溪_110學年度財務報告.pdf,24,附表一：收支餘絀表-功能別,,否
N01安溪_110學年度財務報告.pdf,25,附表二：經費流用及勻支檢查表,,否
N01安溪_110學年度財務報告.pdf,26,附表三：各學年收支預決算比較表,,否
N01安溪_110學年度財務報告.pdf,27,附表三：各學年收支預決算比較表,,否
N01安溪_110學年度財務報告.pdf,28,附表四：財產清冊,,否
N01安溪_110學年度財務報告.pdf,29,附表四：財產清冊,,否
N01安溪_110學年度財務報告.pdf,30,附表四：財產清冊,,否
N01安溪_110學年度財務報告.pdf,31,附表四：財產清冊,,否
N01安溪_110學年度財務報告.pdf,32,附表四：財產清冊,,否
N01安溪_110學年度財務報告.pdf,33,附表五：會計師查核附表,,否
N01安溪_110學年度財務報告.pdf,34,附表五：會計師查核附表,,否
N01安溪_110學年度財務報告.pdf,35,附表五：會計師查核附表,,否
N01安溪_110學年度財務報告.pdf,36,附表五：會計師查核附表,,否
