檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N01安溪_113學年度財務報告.pdf,6,113學年度,教保費收入,"17,990,000",113
N01安溪_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(68,050)",113
N01安溪_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"257,480",113
N01安溪_113學年度財務報告.pdf,6,113學年度,利息收入,"211,286",113
N01安溪_113學年度財務報告.pdf,6,113學年度,其他收入,"1,765,262",113
N01安溪_113學年度財務報告.pdf,6,113學年度,收入合計,"20,155,978",113
N01安溪_113學年度財務報告.pdf,6,113學年度,人事費,"11,978,248",113
N01安溪_113學年度財務報告.pdf,6,113學年度,業務費,"382,209",113
N01安溪_113學年度財務報告.pdf,6,113學年度,材料費,"1,890,864",113
N01安溪_113學年度財務報告.pdf,6,113學年度,維護費,"106,064",113
N01安溪_113學年度財務報告.pdf,6,113學年度,修繕購置費,"128,643",113
N01安溪_113學年度財務報告.pdf,6,113學年度,雜支,"20,662",113
N01安溪_113學年度財務報告.pdf,6,113學年度,行政管理費,"290,580",113
N01安溪_113學年度財務報告.pdf,6,113學年度,業務發展費,"5,420,000",113
N01安溪_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"162,217",113
N01安溪_113學年度財務報告.pdf,6,113學年度,其他支出,"1,765,262",113
N01安溪_113學年度財務報告.pdf,6,113學年度,支出合計,"22,144,749",113
N01安溪_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(1,988,771)",113
N01安溪_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N01安溪_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(1,988,771)",113
