檔案名稱,項目,113學年度預算數,113學年度決算數,113學年度決算與預算差異,113學年度執行率,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率
N01安溪_113學年度財務報告.pdf,收入,"$ 18,236,160","$ 20,155,978","$ 1,919,818",111,"$ 17,816,544","$ 18,995,020","$ 1,178,476",107
N01安溪_113學年度財務報告.pdf,教保費收入淨額,"18,236,160","17,921,950","(314,210)",98,"17,816,544","17,230,683","(585,861)",97
N01安溪_113學年度財務報告.pdf,教保費收入,"18,236,160","17,990,000","(246,160)",99,"17,816,544","17,324,859","(491,685)",97
N01安溪_113學年度財務報告.pdf,教保費收入(家長繳費),"2,880,000","2,040,000","(840,000)",71,"3,264,000","2,202,863","(1,061,137)",67
N01安溪_113學年度財務報告.pdf,教保費收入(政府學費差額補助),"15,356,160","15,950,000","593,840",104,"14,552,544","15,121,996","569,452",104
N01安溪_113學年度財務報告.pdf,教保費收入減項,,"(68,050)","(68,050)",,,"(94,176)","(94,176)",
N01安溪_113學年度財務報告.pdf,五日未上課退費,,"(46,044)","(46,044)",,,"(30,378)","(30,378)",
N01安溪_113學年度財務報告.pdf,腸病毒退費,,"(16,033)","(16,033)",,,"(30,842)","(30,842)",
N01安溪_113學年度財務報告.pdf,轉學/轉出退費,,,,,,"(12,702)","(12,702)",
N01安溪_113學年度財務報告.pdf,政府學費差額補助退費,,"(5,973)","(5,973)",,,"(20,254)","(20,254)",
N01安溪_113學年度財務報告.pdf,延長照顧服務收入淨額,,"257,480","257,480",,,"337,868","337,868",
N01安溪_113學年度財務報告.pdf,延長照顧服務收入淨額,,"257,480","257,480",,,"337,868","337,868",
N01安溪_113學年度財務報告.pdf,延長照顧服務收入,,"268,720","268,720",,,"344,697","344,697",
N01安溪_113學年度財務報告.pdf,延長照顧服務收入退費,,"(11,240)","(11,240)",,,"(6,829)","(6,829)",
N01安溪_113學年度財務報告.pdf,利息收入,,"211,286","211,286",,,"82,077","82,077",
N01安溪_113學年度財務報告.pdf,其他收入,,"1,765,262","1,765,262",,,"1,344,392","1,344,392",
