檔案名稱,項目,113學年度金額,112學年度金額
N02山北_113學年度財務報告.pdf,營業活動之現金流量：,,
N02山北_113學年度財務報告.pdf,本期稅前餘絀,"$ 674,883","$(348,840)"
N02山北_113學年度財務報告.pdf,調整項目：,,
N02山北_113學年度財務報告.pdf,資產／負債淨變動數,,
N02山北_113學年度財務報告.pdf,應收帳款淨額,"23,731","(16,681)"
N02山北_113學年度財務報告.pdf,其他應收款,-,"198,144"
N02山北_113學年度財務報告.pdf,預付款項,-,"35,257"
N02山北_113學年度財務報告.pdf,其他流動資產,"(4,466)",(9)
N02山北_113學年度財務報告.pdf,應付帳款,"6,258",102
N02山北_113學年度財務報告.pdf,其他應付款,"92,289","45,591"
N02山北_113學年度財務報告.pdf,預收款項,"(321,006)","359,954"
N02山北_113學年度財務報告.pdf,其他流動負債,(55),(35)
N02山北_113學年度財務報告.pdf,營業活動之淨現金流入,"471,634","273,483"
N02山北_113學年度財務報告.pdf,投資活動之現金流量：,,
N02山北_113學年度財務報告.pdf,投資活動之淨現金流入,-,-
N02山北_113學年度財務報告.pdf,籌資活動之現金流量：,,
N02山北_113學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N02山北_113學年度財務報告.pdf,本期現金及約當現金增加數,"471,634","273,483"
N02山北_113學年度財務報告.pdf,期初現金及約當現金餘額,"6,143,624","5,870,141"
N02山北_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 6,615,258","$ 6,143,624"
