檔案名稱,項目,113學年度預算數,113學年度決算數,113學年度決算與預算差異,113學年度執行率,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率
N02山北_113學年度財務報告.pdf,收入,"$ 14,074,416","$ 15,866,725","$ 1,792,309",113,"$ 13,146,840","$ 13,850,855","$ 704,015",105
N02山北_113學年度財務報告.pdf,教保費收入淨額,"14,074,416","14,015,438","(58,978)",100,"13,146,840","12,690,961","(455,879)",97
N02山北_113學年度財務報告.pdf,教保費收入,"14,074,416","14,066,000","(8,416)",100,"13,146,840","12,764,928","(381,912)",97
N02山北_113學年度財務報告.pdf,教保費收入(家長繳費),"2,064,000","1,236,000","(828,000)",60,"2,160,000","1,510,652","(649,348)",70
N02山北_113學年度財務報告.pdf,教保費收入(政府學費差額補助),"12,010,416","12,830,000","819,584",107,"10,986,840","11,254,276","267,436",102
N02山北_113學年度財務報告.pdf,教保費收入減項,,"(50,562)","(50,562)",,,"(73,967)","(73,967)",
N02山北_113學年度財務報告.pdf,五日未上課退費,,"(18,415)","(18,415)",,,"(31,255)","(31,255)",
N02山北_113學年度財務報告.pdf,腸病毒退費,,"(23,739)","(23,739)",,,"(39,046)","(39,046)",
N02山北_113學年度財務報告.pdf,政府學費差額補助退費,,"(8,408)","(8,408)",,,"(3,666)","(3,666)",
N02山北_113學年度財務報告.pdf,延長照顧服務收入淨額,,"106,755","106,755",,,"155,084","155,084",
N02山北_113學年度財務報告.pdf,延長照顧服務收入淨額,,"106,755","106,755",,,"155,084","155,084",
N02山北_113學年度財務報告.pdf,延長照顧服務收入,,"106,755","106,755",,,"155,084","155,084",
N02山北_113學年度財務報告.pdf,利息收入,,"92,442","92,442",,,"68,971","68,971",
N02山北_113學年度財務報告.pdf,其他收入,,"1,652,090","1,652,090",,,"935,839","935,839",
N02山北_113學年度財務報告.pdf,支出,"12,947,537","15,191,842","2,244,305",117,"12,817,388","14,199,695","1,382,307",111
N02山北_113學年度財務報告.pdf,人事費,"10,081,983","9,040,242","(1,041,741)",90,"9,854,366","9,157,815","(696,551)",93
N02山北_113學年度財務報告.pdf,園長及教保服務人員薪資(含職務加給),"6,226,053","5,766,041","(460,012)",93,"6,081,414","5,941,920","(139,494)",98
N02山北_113學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,377,069","1,323,473","(53,596)",96,"1,355,400","1,322,997","(32,403)",98
N02山北_113學年度財務報告.pdf,加班費,"754,728","459,742","(294,986)",61,"738,192","421,905","(316,287)",57
N02山北_113學年度財務報告.pdf,勞、健保費,"1,036,362","864,201","(172,161)",83,"1,013,688","872,368","(141,320)",86
N02山北_113學年度財務報告.pdf,保險費,"13,000","18,861","5,861",145,"13,000","18,864","5,864",145
N02山北_113學年度財務報告.pdf,勞退金提撥,"405,504","421,619","16,115",104,"396,636","429,119","32,483",108
N02山北_113學年度財務報告.pdf,自強活動,"13,000","12,155",(845),94,"13,000","10,000","(3,000)",77
N02山北_113學年度財務報告.pdf,健康檢查,"13,000","8,000","(5,000)",62,"1,000","1,191",191,119
N02山北_113學年度財務報告.pdf,代課費及代班費,"186,948","109,831","(77,117)",59,"186,948","84,363","(102,585)",45
N02山北_113學年度財務報告.pdf,資遣費,"56,319","56,319",,100,"55,088","55,088",,100
N02山北_113學年度財務報告.pdf,業務費,"723,700","485,428","(238,272)",67,"723,700","463,878","(259,822)",64
N02山北_113學年度財務報告.pdf,活動費,"95,000","82,043","(12,957)",86,"95,000","86,400","(8,600)",91
N02山北_113學年度財務報告.pdf,研習、進修,"26,000","10,800","(15,200)",42,"26,000","6,800","(19,200)",26
N02山北_113學年度財務報告.pdf,水費,"26,000","11,706","(14,294)",45,"26,000","10,743","(15,257)",41
N02山北_113學年度財務報告.pdf,電費,"229,000","213,390","(15,610)",93,"229,000","210,502","(18,498)",92
N02山北_113學年度財務報告.pdf,瓦斯費,"32,000","12,051","(19,949)",38,"32,000","13,620","(18,380)",43
N02山北_113學年度財務報告.pdf,保全,"80,000","64,513","(15,487)",81,"80,000","37,275","(42,725)",47
N02山北_113學年度財務報告.pdf,辦公文具,"18,000","4,390","(13,610)",24,"18,000","6,344","(11,656)",35
N02山北_113學年度財務報告.pdf,事務機器耗材,"60,000","24,424","(35,576)",41,"60,000","23,573","(36,427)",39
N02山北_113學年度財務報告.pdf,電話費(含ADSL),"45,000","30,230","(14,770)",67,"45,000","29,727","(15,273)",66
N02山北_113學年度財務報告.pdf,郵資,"7,200","4,865","(2,335)",68,"7,200","1,524","(5,676)",21
N02山北_113學年度財務報告.pdf,文宣費(一般文宣),"10,000",988,"(9,012)",10,"10,000",800,"(9,200)",8
N02山北_113學年度財務報告.pdf,文宣費(園刊),"27,500",,"(27,500)",,"27,500",,"(27,500)",
N02山北_113學年度財務報告.pdf,攝影照片,"9,000","5,018","(3,982)",56,"9,000","4,050","(4,950)",45
N02山北_113學年度財務報告.pdf,園務特支,"39,000","21,010","(17,990)",54,"39,000","32,520","(6,480)",83
N02山北_113學年度財務報告.pdf,差旅費,"20,000",,"(20,000)",,"20,000",,"(20,000)",
N02山北_113學年度財務報告.pdf,材料費,"1,502,420","1,120,241","(382,179)",75,"1,572,300","1,219,134","(353,166)",78
N02山北_113學年度財務報告.pdf,教保材料費,"206,400","107,757","(98,643)",52,"216,000","109,184","(106,816)",51
N02山北_113學年度財務報告.pdf,日常消耗用品,"51,600","26,614","(24,986)",52,"54,000","31,019","(22,981)",57
N02山北_113學年度財務報告.pdf,藥品費,"6,020","4,638","(1,382)",77,"6,300","2,930","(3,370)",47
N02山北_113學年度財務報告.pdf,餐點費,"1,238,400","981,232","(257,168)",79,"1,296,000","1,076,001","(219,999)",83
N02山北_113學年度財務報告.pdf,維護費,"118,000","44,629","(73,371)",38,"118,000","81,966","(36,034)",69
N02山北_113學年度財務報告.pdf,修繕費,"85,000","39,184","(45,816)",46,"85,000","65,241","(19,759)",77
N02山北_113學年度財務報告.pdf,園舍消毒、清潔,"25,000","4,725","(20,275)",19,"25,000","16,005","(8,995)",64
N02山北_113學年度財務報告.pdf,火險,"8,000",720,"(7,280)",9,"8,000",720,"(7,280)",9
N02山北_113學年度財務報告.pdf,修繕購置費,"120,400","288,508","168,108",240,"126,000","107,677","(18,323)",85
N02山北_113學年度財務報告.pdf,公共事務管理費,"135,000","21,756","(113,244)",16,"150,000","20,538","(129,462)",14
N02山北_113學年度財務報告.pdf,雜支,"43,422","4,794","(38,628)",11,"43,422","6,095","(37,327)",14
N02山北_113學年度財務報告.pdf,行政管理費,"222,612","222,612",,100,"229,600","229,600",,100
N02山北_113學年度財務報告.pdf,業務發展費,,"2,204,787","2,204,787",,,"1,833,375","1,833,375",
N02山北_113學年度財務報告.pdf,延長照顧服務支出,,"106,755","106,755",,,"143,778","143,778",
N02山北_113學年度財務報告.pdf,其他支出,,"1,652,090","1,652,090",,,"935,839","935,839",
N02山北_113學年度財務報告.pdf,本期稅前餘絀,"1,126,879","674,883","(451,996)",60,"329,452","(348,840)","(678,292)",(106)
N02山北_113學年度財務報告.pdf,所得稅費用,,,,,,,,
N02山北_113學年度財務報告.pdf,本期稅後餘絀,"$ 1,126,879","$ 674,883","$(451,996)",60,"$ 329,452","$(348,840)","$(678,292)",(106)
